Autres coups et blessures volontaires
Cambriolages de logement
Coups et blessures volontaires
Coups et blessures volontaires intrafamiliaux
Violences sexuelles
Vols avec armes
Vols d'accessoires sur véhicules
Vols dans les véhicules
